User Story,w_0,w_1,w_2,w_3,w_4,w_5
"As an app developer, I want to include the code of a dataset type in my app artifact and create a dataset of that type when deploying the app.",3,14,34,7,2,19
"As an app developer, I want to deploy a new version of a dataset type as part of deploying a new version of the app that includes it and I expect that all dataset instances of that type that were created as part of the app deployment start using the new code.",7,3,39,10,1,24
"As an app developer, I want to deploy a new version of a dataset type as part of an app artifact, without affecting other datasets of this type.",3,23,25,10,3,4
"As an app developer, I want to explore a dataset instance of a type that was deployed as part of an app.",2,17,12,1,4,38
"As an app developer, I want to ensure that when I deploy an artifact without creating an app this will not create any dataset types or instances.",8,14,16,1,8,36
"As an app developer, I want to share a dataset type across multiple applications that include the dataset type's code in their artifacts.",1,29,20,4,10,8
"As an app developer, I want to ensure that when I deploy a new version of an app that includes a shared dataset type that all dataset instances created by this app start using the new code but all dataset instances created by other apps remain unchanged.",4,24,21,5,4,40
"As an app developer, I want to ensure that when I deploy a new version of an app that includes an older version of a dataset type deployed by another app and I expect that the dataset instances created by this app use the dataset type code included in this app.",9,2,30,4,5,25
"As an app developer, I want to ensure that when I deploy a new version of an app that includes a different version of a dataset type deployed by another app and this app shares a dataset instance of this type with the other app the deployment will fail with a version conflict error. ",6,24,27,3,8,31
"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.",10,9,27,2,2,3
"As a dataset developer, I want to deploy a dataset type independent from any app and allow apps to create and use dataset instances of that type.",10,4,21,5,5,35
"As a dataset developer, I want to have the option of forcing applications to have the dataset code injected at runtime.",2,21,16,8,3,40
"As a dataset developer, I want to have an archetype that helps me package my dataset type properly.",5,7,12,5,4,11
"As a dataset developer, I want to separate the interface from the implementation of a dataset type.",4,19,40,7,2,8
"As an app developer, I want to only depend on the interface of a dataset type in my app and have the system inject the implementation at runtime.",7,21,19,3,1,29
"As an app developer, I want to write unit tests for an app that depends on the interface of a dataset type.",10,30,5,2,6,33
"As a dataset developer, I want to assign explicit versions to the code of a dataset type.",2,12,20,10,7,6
"As a dataset developer, I want to deploy a new version of a dataset type without affecting the dataset instances of that type.",9,30,6,4,7,11
"As an app developer, I want to create a dataset instance with a specific version of a dataset type.",10,18,26,7,1,35
"As a dataset developer, I want to explore a dataset instance created from a dataset type that was deployed by itself.",2,2,25,9,5,9
"As a dataset developer, I want to delete outdated versions of a dataset type and I expect this to fail if there are any dataset instances with that version of the type.",9,13,26,10,9,5
"As a dataset developer, I want to list all dataset instances that use a dataset type or a specific version of a type.",2,13,9,8,5,35
"As a data scientist, I want to be able to create a dataset instance of an existing dataset type without writing code.",8,26,31,1,2,29
"As a data scientist, I want to be able to upgrade a dataset instance to a new version of its code.",1,17,1,5,8,12
"As a hydrator user, I want to create a pipeline that reads or writes an existing dataset instance.",3,9,35,2,1,22
"As a hydrator user, I want to create a pipeline that reads or writes a new dataset instance and I want to create that dataset instance as part of pipeline creation.",4,13,10,9,9,11
"As a hydrator user, I want to specify an explicit version of the dataset types of the dataset instances created by my pipeline and I expect pipeline creation to fail if that results in incompatible upgrade of an existing dataset instance that is shared with other apps or pipelines.",2,29,37,2,2,16
"As a hydrator user, I want to explore the datasets created by my pipeline.",10,19,30,2,5,39
"As a hydrator user, I want to ensure that all dataset instances created by apps are available as sinks and sources for pipelines.",6,7,6,7,2,26
"As an app developer, I want to ensure that all dataset instances created by Hydrator pipelines are accessible to the app.",9,10,34,5,4,7
"As a plugin developer, I want to include the code for a dataset type in the plugin artifact, so that when a pipeline using this plugin is created a dataset instance of that type is created and it is explorable and available to apps.",3,21,11,2,6,13
"As a plugin developer, I want to use a custom dataset type that was deployed independently or as part of an app inside the plugin. ",6,21,9,6,2,10
"As a plugin developer, I want to upgrade the code of a dataset type used by a dataset instance created by that plugin when I deploy a new version of the plugin and update the pipeline to use that version.",1,16,2,6,4,20
"As a pipeline developer, I want to upgrade a dataset instance to a newer version of the code after the pipeline was created.",5,28,27,6,1,19
"As a dataset developer, I want to have the option of implementing an upgrade step for when a dataset instance is upgraded to a new version of the dataset type.",10,7,21,2,3,4
"As a dataset developer, I want to have a way to reject an upgrade of a dataset instance to a newer version of it type if the upgrade is not compatible.",2,27,2,9,7,8
"As a dataset developer, I want to have the option of implementing a migration procedure that can be run after an upgrade of a dataset instance to a new version of it type. ",2,16,16,6,6,35
"As a developer, I want to take a dataset offline, so that I can perform a long-running maintenance or migration procedure.",5,13,37,8,8,15
"As a dataset developer, I want to implement custom administrative operations such as ""compaction"" or ""rebalance"" that are no common to all dataset types.",2,6,9,3,7,10
"As an app developer, I want to perform custom administrative operations on dataset instances from my app and the CLI and REST or the UI.",4,1,4,6,9,19
"As a user, I want to find out what properties are supported by the dataset type what values are allowed and what the defaults are when creating a dataset instance. ",6,10,4,3,10,1
"As a user, I want to specify the schema of a dataset in a uniform way across all dataset types.",4,26,5,4,9,24
"As a user, I want to specify schema as a JSON string.",2,19,2,3,2,40
"As a user, I want to specify schema as a SQL schema string.",5,14,7,6,9,12
"As a user, I want to configure time-to-live in a uniform way across all dataset types.",1,20,35,8,7,19
"As a user, I want to see the properties that were used to configure a dataset instance.",6,13,17,5,9,15
"As a user, I want to find out what properties of a dataset can be updated.",9,20,36,1,4,5
"As a user, I want to update the properties of a dataset instance and I expect this to fail if the new properties are not compatible with a meaningful error message.",2,24,27,8,1,38
"As a user, I want to update a single property of a dataset instance without knowing all other properties. ",9,20,1,9,4,40
"As a user, I want to remove a single property of a dataset instance without knowing all other properties. ",4,14,7,5,5,32
"As a user, I want to trigger a migration process for a dataset if updating its properties requires that.",3,3,16,3,9,19
"As a user, I want to ensure that if reconfiguration of a dataset fails then no changes have taken effect, so that all steps required to reconfigure a dataset must be done as a single atomic action.",7,22,13,4,3,5
"As an app developer, I want to ensure that application creation fails if any of its datasets cannot be created.",2,29,34,2,8,2
"As an app developer, I want to ensure that application redeployment fails if any of its datasets cannot be reconfigured.",3,18,19,1,6,1
"As an app developer, I want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment. ",6,21,18,1,10,26
"As a pipeline designer, I want to get a meaningful error message when pipeline creation fails when I use an existing dataset as a sink or source, so that I know that the schema or any other property of the dataset is incompatible with what the pipeline requires. ",8,20,7,7,5,26
"As a user, I want to specify as part of dataset configuration whether it is explorable.",2,22,17,1,8,26
"As a user, I want to specify the explore schema separately.",1,3,31,9,3,3
"As a user, I want to ensure that dataset creation fails if the dataset cannot be enabled for explore.",3,19,38,10,8,23
"As a user, I want to ensure that dataset reconfiguration fails if the corresponding update of the explore table fails.",5,3,23,7,6,5
"As a user, I want to ensure that a dataset operation fails if it fails to make its required changes to explore.",4,28,19,2,1,3
"As a user, I want to ensure that an update of explore never leads to silent loss of data or data available for explore. ",10,20,13,9,8,28
"As a user, I want to enable explore for a dataset that was not configured for explore initially.",8,18,12,6,6,22
"As a user, I want to disable explore for a dataset that was configured for explore initially.",7,3,31,2,2,31
